pressure,depth,temperature,Salinity,density,oxygen
346,343.811,10.046,34.4358,1028.0649,1.55133
347,344.804,10.0229,34.4354,1028.0732,1.54568
348,345.797,9.9982,34.4364,1028.0829,1.54119
349,346.79,9.9796,34.4363,1028.0906,1.53637
350,347.783,9.9502,34.4363,1028.1003,1.53524
351,348.776,9.9042,34.4368,1028.1133,1.53426
352,349.768,9.8702,34.4384,1028.125,1.52933
353,350.761,9.8235,34.4377,1028.1371,1.52639
354,351.754,9.7555,34.4415,1028.1564,1.52535
355,352.747,9.7425,34.4427,1028.1641,1.52142
356,353.739,9.738,34.4421,1028.169,1.50983
357,354.733,9.7363,34.4417,1028.1735,1.50657
358,355.725,9.7334,34.4417,1028.1784,1.50526
359,356.718,9.7274,34.4413,1028.1837,1.4993
360,357.711,9.7206,34.4419,1028.1899,1.49383
361,358.704,9.7165,34.4419,1028.195,1.48996
362,359.696,9.7122,34.442,1028.2004,1.48368
363,360.689,9.7076,34.4418,1028.2056,1.4842
364,361.682,9.6966,34.4428,1028.2127,1.47994
365,362.674,9.6923,34.4427,1028.2179,1.47819
366,363.667,9.6848,34.4427,1028.2237,1.47533
367,364.66,9.6739,34.4437,1028.2309,1.47046
368,365.653,9.6714,34.444,1028.236,1.46749
369,366.646,9.6658,34.4441,1028.2416,1.46768
370,367.638,9.6535,34.4442,1028.2483,1.46904
371,368.631,9.6408,34.4457,1028.2562,1.46722
372,369.624,9.6381,34.446,1028.2614,1.4631
373,370.616,9.6342,34.4462,1028.2667,1.46232
374,371.609,9.6304,34.4467,1028.2723,1.4599
375,372.602,9.6213,34.447,1028.2786,1.45644
376,373.595,9.5876,34.4473,1028.2891,1.4568
377,374.587,9.4784,34.4482,1028.3132,1.46066
378,375.58,9.2553,34.4519,1028.3587,1.46453
379,376.573,9.106,34.4687,1028.4017,1.46377
380,377.565,9.082,34.4686,1028.4101,1.45663
381,378.558,9.067,34.4678,1028.4165,1.45935
382,379.551,9.0493,34.4674,1028.4237,1.45604
383,380.543,9.0226,34.4685,1028.4336,1.44875
384,381.536,8.9839,34.4702,1028.4458,1.43932
